Welsh	English
1	1
10	10
100	100
Categori:100	100
1000	1000
Categori:1000	1000
101	101
105	105
11	11
110	110
115	115
12	12
Categori:12	12
120	120
125	125
13	13
130	130
135	135
14	14
Categori:14	14
140	140
144	144
145	145
15	15
150	150
1530au	1530s
155	155
16	16
Categori:16	16
160	160
165	165
17	17
Categori:17	17
170	170
1728	1728
Categori:1728	1728
175	175
1750au	1750s
Categori:1750au	1750s
1760au	1760s
Categori:1760au	1760s
1770au	1770s
Categori:1770au	1770s
1780au	1780s
Categori:1780au	1780s
1790au	1790s
Categori:1790au	1790s
18	18
Un deg wyth	18 (number)
180	180
1820au	1820s
Categori:1820au	1820s
1830au	1830s
Categori:1830au	1830s
1840au	1840s
Categori:1840au	1840s
1850au	1850s
1860au	1860s
Categori:1860au	1860s
1870au	1870s
Categori:1870au	1870s
1880au	1880s
Categori:1880au	1880s
1890au	1890s
Categori:1890au	1890s
19	19
190	190
1900au	1900s
Categori:1900au	1900s
1920au	1920s
Categori:1920au	1920s
1930au	1930s
Categori:1930au	1930s
1940au	1940s
Categori:1940au	1940s
1950au	1950s
Categori:1950au	1950s
1960au	1960s
Categori:1960au	1960s
1970au	1970s
Categori:1970au	1970s
1980au	1980s
Categori:1980au	1980s
1990au	1990s
Categori:1990au	1990s
2	2
20	20
200	200
21	21
22	22
23	23
24	24
25	25
26	26
27	27
28	28
29	29
3	3
Tri	3 (number)
30	30
300	300
31	31
32	32
33	33
34	34
35	35
36	36
37	37
38	38
39	39
4	4
Pedwar	4 (number)
40	40
400	400
41	41
42	42
43	43
44	44
45	45
46	46
47	47
48	48
49	49
5	5
Pump	5 (number)
50	50
500	500
Categori:500	500
51	51
52	52
53	53
54	54
55	55
56	56
57	57
58	58
59	59
6	6
60	60
61	61
62	62
63	63
64	64
65	65
66	66
67	67
68	68
69	69
7	7
70	70
71	71
72	72
73	73
74	74
75	75
76	76
77	77
78	78
79	79
8	8
80	80
81	81
82	82
83	83
84	84
85	85
86	86
87	87
88	88
89	89
9	9
90	90
91	91
92	92
93	93
94	94
95	95
96	96
97	97
98	98
99	99
A	A
Aachen	Aachen
Abel Tasman	Abel Tasman
Aberdeen	Aberdeen
Abidjan	Abidjan
Abraham	Abraham
Abraham Lincoln	Abraham Lincoln
Acesia	Acacia
Gwobrau'r Academi	Academy Award
Cyflymiad	Acceleration
Accra	Accra
Glaw asid	Acid rain
Aconcagua	Aconcagua
Actor	Actor
Adam Smith	Adam Smith
Addis Ababa	Addis Ababa
Adelaide	Adelaide
Adolf Hitler	Adolf Hitler
